meantp50-LH,meantp50-RH,rnacc4,rnacc6,rnacc8,rnaccloss4,rnaccloss6,rnaccloss8
0.2329588,0.17901112,-0.050121439,0.113724669,0.039103067,0.100563841,0.09888363,-0.128906277
0.11135704,0.20814218,-0.005915372,0.121123446,0.110550462,-0.050811287,0.030148037,-0.046634799
0.15469316,0.17673536,0.137158052,0.37104004,0.210358278,-0.188686998,-0.011817981,-0.048942564
0.25993574,0.27398054,0.004346739,0.077883831,0.148853032,0.03324366,0.009823445,0.064592996
0.18816614,0.24517604,-0.170395338,-0.115835663,0.009864049,0.099219561,0.143981488,0.005160415
0.20033546,0.21495538,0.058965655,0.11670487,0.013894165,0.057456597,0.110611789,0.18976412
0.19345396,0.19549348,0.033484546,0.093526034,0.003825027,-0.080046081,0.047658563,0.009295472
0.21614302,0.23253314,0.063351889,0.164522672,-0.010390198,-0.038188113,0.18437774,-0.007565052
0.2277284,0.2316342,0.004803864,0.16681267,-0.127596211,-0.058810552,0.136346885,-0.156421347
0.21172124,0.23884172,-0.095984316,0.161901743,0.115500442,-0.172196193,0.161959307,0.071463131
0.20674244,0.18469076,0.003077076,0.030868882,-0.057234944,0.056538117,0.141615982,0.055074815
0.2278006,0.21979086,0.009204892,0.057245232,0.128509627,0.032033122,-0.041873841,-0.046696699
0.26351844,0.27453986,0.024834768,0.108386328,0.111003808,-0.203890729,-0.049638803,-0.027085563
0.2544584,0.24807148,-0.090792627,0.19862271,0.247271048,-0.072670219,-0.059389344,0.031757357
0.25256522,0.30467806,-0.069072044,0.013058271,0.008918071,0.038009084,0.11856934,0.046058556
0.30977402,0.29634768,0.181905342,0.212267396,0.075363062,-0.259894685,-0.162206265,0.072834577
0.17886066,0.18922098,0.012215445,-0.001353745,0.081037749,-0.02328423,0.097154127,0.197077821
0.21090664,0.22927294,0.01407717,0.24447066,0.078102414,0.163795869,0.064678606,0.115114659
0.20203572,0.21482968,0.047122104,0.207943567,0.099490453,-0.054128638,-0.175039495,0.08103872
0.29042188,0.26935298,-0.244646692,-0.103268265,-0.03593172,0.194631752,-0.213146871,-0.017765046
0.2405178,0.20063926,0.016347292,0.129793279,0.0636338,-0.02031593,0.102362816,-0.070073155
0.20188604,0.21834612,-0.050238191,-0.027528826,0.062172426,-0.012275272,0.004528913,-0.007862729
0.2696823,0.24232738,-0.019551259,0.157435687,0.074879603,0.020965911,0.069057516,0.012274641
0.22699022,0.1822584,0.016007784,0.154062968,0.084167124,-0.091900596,0.100683847,0.088148158
0.19864116,0.27240368,-0.026871442,0.087398589,0.064311692,-0.083244925,0.005461003,0.008275675
0.21871686,0.20969536,0.05905097,0.115855899,-0.000215446,0.008731086,0.048223503,-0.085798943
0.2301499,0.28724226,0.187253879,0.103176918,-0.01457109,0.099025533,0.135742283,-0.035059932
0.22925916,0.22575376,-0.102027962,-0.059528751,-0.071158726,-0.117639775,0.001888771,0.020422455
0.21433124,0.30168234,0.035862134,0.148164638,0.031922958,-0.143775316,0.090036886,0.076591205
0.19631542,0.204107,0.00610054,0.050142059,0.097578365,-0.021618666,0.015637155,0.039709968
0.2781921,0.20597776,0.002229463,0.021994856,0.042557542,0.024001342,-0.133698431,0.32121673
0.19028754,0.24876644,0.481526597,0.308637167,0.023119666,0.069995938,-0.140792307,-0.233309536
0.21527944,0.22344366,0.006115929,0.054841548,0.027389468,-0.03960768,0.082024383,-0.008100473
0.24216794,0.22372736,0.016791116,0.089188541,0.079313192,-0.019216268,0.011205068,-0.032701977
0.2525597,0.26139846,0.01116393,0.073034992,0.050537628,-0.031614122,0.060931045,0.048658674
0.1987654,0.21027952,0.091512867,0.116859113,0.088429907,-0.175759718,-0.019258156,-0.127698463
0.2787991,0.2717559,-0.087738601,-0.016528261,-0.024870152,0.027277788,-0.006061572,0.015431234
0.23733926,0.24887336,0.028316532,0.070260238,-0.139932022,0.015099273,0.041833389,-0.037964894
0.2019371,0.24776638,0.081186978,0.05101608,-0.00421352,0.042584661,0.024541997,-0.051260041
0.2290143,0.33444264,0.023805907,0.077311561,0.087902367,-0.104669713,-0.025880555,0.008928056
0.22711032,0.2428955,-0.08741789,0.043874876,0.028595712,0.022011798,0.035270396,0.019135914
0.23999706,0.22681084,0.128428425,0.193921641,-0.018233481,-0.145108979,0.040968647,-0.001271963
0.2542674,0.24390178,-0.030767638,0.198473801,0.089043056,-0.102499679,0.192346831,0.077154434
0.21889024,0.19384598,0.089790147,0.131007666,0.041608899,-0.118883643,0.019970763,0.003410656
0.20374996,0.27086234,0.025388738,0.080180852,0.071986806,-0.037127105,0.021474262,0.060803207
0.18230288,0.26605446,-0.050042494,-0.041900226,-0.031922327,0.083089411,-0.043758862,0.144423689
0.21795382,0.29622912,-0.007785021,0.133084142,0.00733114,0.011238675,0.08897864,-0.005683794
0.204241,0.21503794,-0.084188453,0.027328369,0.120918438,-0.138594593,-0.076388653,-0.084917892
0.27834744,0.29078676,0.033600031,0.098976934,0.022589221,-0.003578631,0.013333941,0.045516185
0.21434308,0.29818276,0.038353662,0.109957219,0.060075058,-0.122611812,0.034491286,-0.008620652
0.36238574,0.25308682,-0.062847839,0.103915263,-0.020639691,-0.019733888,0.161142008,0.019934814
0.20858454,0.29829612,0.089337019,0.20106952,-0.022657861,-0.006965938,0.12569364,-0.018809129
0.18465386,0.16880728,0.051072352,-0.050694831,-0.035773513,-0.037670161,-0.008903233,-0.05413712
0.30985882,0.2424441,0.106843383,0.14044761,0.114634621,-0.002955623,-0.272409795,-0.011998432
0.3504506,0.23568776,0.163324662,0.094937608,0.113215195,-0.018117437,0.034352227,0.059572617
